model,confidence_level,window,n_obs,n_exceed,expected_exceed,exceedance_rate,expected_rate,empirical_coverage,average_var,kupiec_lr,kupiec_p_value,kupiec_reject_5pct,n00,n01,n10,n11,pi0,pi1,christoffersen_ind_lr,christoffersen_ind_p_value,christoffersen_ind_reject_5pct,christoffersen_cc_lr,christoffersen_cc_p_value,christoffersen_cc_reject_5pct,coverage_error
Historical VaR,0.95,252,5029,293,251.45000000000022,0.05826207993636906,0.050000000000000044,0.9417379200636309,0.019654395862946247,6.878479020604573,0.008723977230165825,True,4481,254,254,39,0.05364308342133052,0.13310580204778158,24.264255993321967,8.398317550284418e-07,True,31.14273501392654,1.7275913311021185e-07,True,0.008262079936369016
Historical VaR,0.99,252,5029,86,50.29000000000004,0.01710081527142573,0.010000000000000009,0.9828991847285743,0.0321920345880702,21.12180592824859,4.309957144954524e-06,True,4862,80,80,6,0.016187778227438283,0.06976744186046512,8.310492543368241,0.003941670067104774,True,29.432298471616832,4.0631007558467047e-07,True,0.007100815271425722
Normal VaR,0.95,252,5029,297,251.45000000000022,0.05905746669317956,0.050000000000000044,0.9409425333068204,0.01945903146606706,8.229526336127947,0.004121428492592782,True,4477,254,254,43,0.053688437962375817,0.1447811447811448,31.117965993779762,2.4281356814093158e-08,True,39.34749232990771,2.85627888008122e-09,True,0.009057466693179514
Normal VaR,0.99,252,5029,136,50.29000000000004,0.02704314973155697,0.010000000000000009,0.972956850268443,0.02763892813306733,100.66289330907352,0.0,True,4767,125,125,11,0.025551921504497137,0.08088235294117647,10.292006219650148,0.0013360774582089618,True,110.95489952872367,0.0,True,0.01704314973155696
Student-t VaR,0.95,252,5029,346,251.45000000000022,0.06880095446410817,0.050000000000000044,0.9311990455358918,0.017839776669697237,33.666329068536015,6.542337338544257e-09,True,4387,295,295,51,0.06300726185390859,0.14739884393063585,28.20904148005593,1.0889470158925718e-07,True,61.875370548591945,3.6637359812630166e-14,True,0.01880095446410812
Student-t VaR,0.99,252,5029,94,50.29000000000004,0.018691588785046728,0.010000000000000009,0.9813084112149533,0.032381719295062575,30.556718821993513,3.2424701701394554e-08,True,4845,89,89,5,0.018038102959059586,0.05319148936170213,4.203846974102248,0.0403323848621151,True,34.76056579609576,2.8303428267761888e-08,True,0.008691588785046719
"GARCH(1,1)-Normal VaR",0.95,252,5029,337,251.45000000000022,0.06701133426128456,0.050000000000000044,0.9329886657387154,0.01789475975250522,27.81447146130131,1.3352362171481502e-07,True,4382,309,309,28,0.0658708164570454,0.0830860534124629,1.3984618724316533,0.23698127313559847,False,29.212933333732963,4.534110775722411e-07,True,0.01701133426128451
"GARCH(1,1)-Normal VaR",0.99,252,5029,120,50.29000000000004,0.023861602704314974,0.010000000000000009,0.9761383972956851,0.025532256326125647,70.28515867884835,0.0,True,4791,117,117,3,0.023838630806845965,0.025,0.006681830894876839,0.934851507632346,False,70.29184050974322,5.551115123125783e-16,True,0.013861602704314965
"GARCH(1,1)-Student-t VaR",0.95,252,5029,350,251.45000000000022,0.06959634122091868,0.050000000000000044,0.9304036587790814,0.017481589928378848,36.42928061334396,1.583070452504387e-09,True,4358,320,320,30,0.06840530141085935,0.08571428571428572,1.4172004209995066,0.2338647501793225,False,37.84648103434347,6.049800660434812e-09,True,0.019596341220918634
"GARCH(1,1)-Student-t VaR",0.99,252,5029,96,50.29000000000004,0.01908928216345198,0.010000000000000009,0.980910717836548,0.027613096129264658,33.13701075662368,8.588821542865333e-09,True,4839,93,93,3,0.018856447688564478,0.03125,0.6513618928694314,0.41962618779108074,False,33.78837264949311,4.6020157684623086e-08,True,0.009089282163451971
